"","Incident ID","Date","Time","Location","Infraction Categories","Infractions","Status","Description","Support:Called Guard?","Support:Special Duty Officer assisted?","Support:Called Police (911)?","Support:Did police respond?","Support:Filled out online police report?","Support:Called EMT?","Support:Called crisis line?","Support:Did crisis line respond?","Support:Called Fire Dept?","masked_reporter","Followup_binary","Date2","time_parsed","time_24h","time_12h","Location_Standard","hour_group","hour_label"
"1","22102","1/3/2023","11:30:00","Valencia Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.7 Harassing or stalking    1.1.7.2 Harassment: Conduct, stares, or gestures causing fear of safety, distress, alarm, harassment","Submitted","Valencia Library has recently received a number of phone calls from Trent Trout with an obsessive focus on wanting to talk to program instructor DV, to set up a one-on-one session with her, and have the program instructor contact them directly. Because of the Issues with personal safety and escalating stalking behaviors specifically towards this program instructor in the past (PITS incidents 19542 and PITS incident 19522), the nature of the phone calls have caused distress and alarm and appear to indicate that the individual is seeking to continue the harassing and stalking behaviors towards program instructor DV.
Subsequent calls from Trent Trout will be referred to a supervisor for a verbal warning. If harassment behavior persists or escalates, incident will be assessed for appropriate follow-up, to include suspension.
The numbers: The patron phone calls to VAL in the past 6 weeks were more frequent than from any other person, reports from staff who spoke to him, KG and XR indicated that the questions that he brought up seemed excessively invasive, specifically requesting personal schedule information, and specific locations to find program instructor DV during the week.
Incidence of incoming calls to the VAL main phone line from Trent Trout:

TUE    01/3/2023  11:30 am
TUE    01/3/2023   10:41 am
THU    12/29/2022  3:38 pm
TUE    12/20/2022  11:45 am
THU    12/15/2022  11:21 am
THU    12/15/2022  11:14 am
MON  11/28/2022  11:18 am
SAT      11/26/2022  1:43 pm
SAT      11/19/2022  10:19 am","No","No","No","No","No","No","No","No","No","ID_0001",1,2023-01-03,0-01-01 11:30:00,"11:30:00","11:30:00 AM","Valencia",0-01-01 11:00:00,"11:00-11:59"
"2","22088","1/3/2023","12:04:00","Santa Rosa Library","No Infractions Set","No Infractions Set","Submitted","At 12:04 Page MG answered a phone call from a regular patron whose name is unknown. Patron asked MG questions about what type of books the library had and considering the audience of the books we must be a family library. MG answered that we do have a higher population of children attending this library. Patron then reiterated that because this is then a family library that there was a ""Drag Queen"" walking around outside and he didn't think they were allowed to be near the building. MG completely shocked by the question asked patron to be put on hold. MG stated that she felt very uncomfortable talking to the patron and explained the situation to Manger VV. Manger VV answered the phone and patron then again asked if this was a ""FAMILY library"" VV explained this was a PUBLIC library and that everyone is welcome. Patron then said never mind and hung up.","No","No","No","No","No","No","No","No","No","ID_0002",0,2023-01-03,0-01-01 12:04:00,"12:04:00","12:04:00 PM","Santa Rosa",0-01-01 12:00:00,"12:00-12:59"
"3","22094","1/3/2023","13:22:00","Miller-Golf Links Library","Disruptive Personal Behavior","Disruptive Personal Behavior    2.1.1 Disruptive: Shouting or yelling","Submitted","OSL III DM came and asked in-charge LTA Supervisor SG about a situation where two patrons in the quiet area, near the magazines, were speaking loudly. DM said that she heard the word ""shooting"" loudly and wasn't sure what context this word was used in, but was concerned. LTA Sup SG agreed to walk over and talk to them about their volume since she had not heard the content of their speech. LTA Sup SG walked over and told them to keep it down as it was our quiet area. Unknown patron quipped back, ""If you take the e out of quiet does that spell quit?"" LTA Sup SG reiterated again that they should keep it down as it was our quiet area and that we could hear you from the front desk and that it's disruptive. The unknown patron quipped back again, ""Are you telepathic?"" LTA Sup SG again asked them to keep it down and that it'd be great if they did and then walked away.","No","No","No","No","No","No","No","No","No","ID_0003",0,2023-01-03,0-01-01 13:22:00,"13:22:00","01:22:00 PM","Miller-Golf Links",0-01-01 13:00:00,"13:00-13:59"
"4","22100","1/4/2023","10:28:00","Frank De La Cruz-El Pueblo Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.7 Harassing or stalking    1.1.7.2 Harassment: Conduct, stares, or gestures causing fear of safety, distress, alarm, harassment","Submitted","Patron Trent Trout called El Pueblo at 10:28 AM requesting information regarding LPI DV classes.  LA MD was suspicious because she recalled the patron from incident 0000019522 in 2019.  LA MD informed him that DV was not scheduled today. He quickly corrected himself and asked if MD could verify the schedule for the computer classes for El Pueblo and Valencia.  He then proceeded to recite the days and hours of the classes.  He then asked if this was when DV was here. Before MD could even respond, he corrected himself and said “to clarify the schedule of the computer classes are….”  
The patron was very persistent in trying to get LA MD to say that DV was in fact at Valencia at this
time. MD only responded by saying that those were the correct hours for the classes at Valencia.
He tried wording in it in different ways, but MD repeated that the classes were held on those dates
and times.","No","No","No","No","No","No","No","No","No","ID_0004",0,2023-01-04,0-01-01 10:28:00,"10:28:00","10:28:00 AM","Frank De La Cruz-El Pueblo",0-01-01 10:00:00,"10:00-10:59"
"5","22089","1/4/2023","11:35:00","Quincie Douglas Library","Disruptive Personal Behavior","Disruptive Personal Behavior    2.13 Failing to comply with staff request about behavior","Submitted","A female customer came in to the library and went up the guard's station, where there is a rainbow sign that says ""Be proud of who you are.  I am!""  She had seen the sign on her last visit, and commented on it, saying that if that sign was there, she should be able to put biblical scripture next to it.  When she came in today, she immediately pointed out the sign again and wagged her finger at it, saying it should be taken down.  Guard R told assistant manager LM about the incident.  LM approached the woman and explained that we have an inclusive environment at the library, and all are welcome.  LM showed her another rainbow sign that is posted in the library that says, ""All are welcome here"".  The woman began to recite scripture and then said, ""You are discriminating against me.  Can I come to the library and read scripture to children?  Can I bring a poster of scripture and have it posted?""  LM explained that anything that is posted in the library has to be reviewed by staff first, and deemed appropriate for library use.  The woman left in a huff.  This is for documentation purposes, as it is the second time this has happened.","Yes","No","No","No","No","No","No","No","No","ID_0005",0,2023-01-04,0-01-01 11:35:00,"11:35:00","11:35:00 AM","Quincie Douglas",0-01-01 11:00:00,"11:00-11:59"
"6","22090","1/4/2023","13:30:00","Joel Valdez Main Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.3 Theft","Submitted","Around 1:30pm, library patron Jesus Salinas left his pink backpack, containing money, his phone, and ID, unattended in the computer lab while he used the restroom. When he returned, the bag was gone and he reported it to guard J. J and LIC MB looked around the library and did not find the bag. Jesus left the library. At 2:05 pm, guard J found his ID and social security card left alone in the women's restroom but not the rest of his belongings.","Yes","No","No","No","No","No","No","No","No","ID_0006",0,2023-01-04,0-01-01 13:30:00,"13:30:00","01:30:00 PM","Joel D. Valdez-Main",0-01-01 13:00:00,"13:00-13:59"
"7","22091","1/4/2023","16:55:00","Joel Valdez Main Library","###############################################################################################################################################################################################################################################################","Medical 911    Called 911 for medical","Submitted","A patron asked library staff at the 1st floor information desk to call 911 for him. He simply stated that he was in distress and would like medical assistance. Staff assisted patron in making the call and patron has been given water, a snack, and guided toward seating while he waits for assistance.","No","No","No","No","No","Yes","No","No","No","ID_0007",0,2023-01-04,0-01-01 16:55:00,"16:55:00","04:55:00 PM","Joel D. Valdez-Main",0-01-01 16:00:00,"16:00-16:59"
"8","22092","1/4/2023","17:55:00","Quincie Douglas Library","Disruptive Personal Behavior","Disruptive Personal Behavior    2.1 Disruptive behavior","Submitted","Right before closing, multiple police vehicles came to our parking lot to speak to the group of people who appear to be living in their cars. The group consists of a woman named Veronica, her husband, their son, Lamborghini, and their two friends Tony and Fernando. These two sedans, one red and one white, are in our lot before employees arrive in the morning and after we leave for the evening. This has been the case for about a month.  Originally, they were in the lot closest to the Center, and were there off and on, however, the last couple of weeks they have been staying in the lot closest to the library in what appears to be a non-stop fashion.  Police told our security guard that an employee at the Quincie Douglas Recreational Center called them, stating these individuals should not be camping/living in the parking lot. This is being recorded for documentation purposes.","No","No","No","No","No","No","No","No","No","ID_0008",0,2023-01-04,0-01-01 17:55:00,"17:55:00","05:55:00 PM","Quincie Douglas",0-01-01 17:00:00,"17:00-17:59"
"9","22093","1/5/2023","12:00:00","Himmel Park Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.6 Disorderly conduct, fighting, violence, threatening, intimidating","Submitted","Security guard RP recognized this customer and prevented him from coming inside the library. He accused her of being racist and raised his fists in a threatening stance like he was going to fight her. She refused to fight and he spat at her. He then left the property. His suspension is extended to a year from today.","Yes","No","No","No","No","No","No","No","No","ID_0009",1,2023-01-05,0-01-01 12:00:00,"12:00:00","12:00:00 PM","Himmel Park",0-01-01 12:00:00,"12:00-12:59"
"10","22095","1/5/2023","15:35:00","Miller-Golf Links Library","Dangerous, Threatening, or Illegal Conduct","Dangerous, Threatening, or Illegal Conduct    1.1.8 Illegal drugs or alcohol: possessing, selling, or using","Submitted","LA GL noticed patron enter bathroom around 3:05 (Patron was observed last week on 12/29/22 in restroom for most of the last hour before closing- LA GL detected a smell and LIB ID verified it as drugs). GL checked in on bathroom several times between 3:05 and 3:25 and noticed he was still in the stall, and notified LIB AD and LSM VL for guidance. GL and LA WB entered restroom about 3:35 to do a welfare check. Patron was gone but in the toilet of stall was a burned aluminum foil. Bathroom was locked and closed for rest of day. Tinfoil was not flushed.","No","No","No","No","No","No","No","No","No","ID_0010",0,2023-01-05,0-01-01 15:35:00,"15:35:00","03:35:00 PM","Miller-Golf Links",0-01-01 15:00:00,"15:00-15:59"
